expert_id,criterion_id,importance_1to9
Regulator,EXP_COVERAGE,8
Regulator,EXP_FAITHFUL,7
Regulator,EXP_STABILITY,8
Regulator,EXPL_EXCL_TARGET,8
Regulator,EXPL_DARKPAT,7
Regulator,EXPL_VULN_UPLIFT,8
Regulator,ALG_BIAS_GAP,8
Regulator,ALG_ECE,6
Regulator,ALG_ROBUST_DROP,6
Regulator,CR_CONSENT,6
Regulator,CR_DSAR_SLA,6
Regulator,CR_MINIMIZE,8
Regulator,ACC_LOGS,8
Regulator,ACC_TAMPER,6
Regulator,ACC_TRACE,7
Regulator,HIL_REVIEW_COV,8
Regulator,HIL_SLA,6
Regulator,HIL_KAPPA,8
Operator,EXP_COVERAGE,6
Operator,EXP_FAITHFUL,7
Operator,EXP_STABILITY,8
Operator,EXPL_EXCL_TARGET,6
Operator,EXPL_DARKPAT,7
Operator,EXPL_VULN_UPLIFT,6
Operator,ALG_BIAS_GAP,8
Operator,ALG_ECE,6
Operator,ALG_ROBUST_DROP,8
Operator,CR_CONSENT,7
Operator,CR_DSAR_SLA,7
Operator,CR_MINIMIZE,7
Operator,ACC_LOGS,7
Operator,ACC_TAMPER,7
Operator,ACC_TRACE,7
Operator,HIL_REVIEW_COV,8
Operator,HIL_SLA,8
Operator,HIL_KAPPA,8
Ethicist,EXP_COVERAGE,8
Ethicist,EXP_FAITHFUL,7
Ethicist,EXP_STABILITY,7
Ethicist,EXPL_EXCL_TARGET,8
Ethicist,EXPL_DARKPAT,7
Ethicist,EXPL_VULN_UPLIFT,6
Ethicist,ALG_BIAS_GAP,8
Ethicist,ALG_ECE,6
Ethicist,ALG_ROBUST_DROP,8
Ethicist,CR_CONSENT,7
Ethicist,CR_DSAR_SLA,6
Ethicist,CR_MINIMIZE,6
Ethicist,ACC_LOGS,7
Ethicist,ACC_TAMPER,6
Ethicist,ACC_TRACE,6
Ethicist,HIL_REVIEW_COV,7
Ethicist,HIL_SLA,8
Ethicist,HIL_KAPPA,7
RG_Specialist,EXP_COVERAGE,8
RG_Specialist,EXP_FAITHFUL,8
RG_Specialist,EXP_STABILITY,8
RG_Specialist,EXPL_EXCL_TARGET,7
RG_Specialist,EXPL_DARKPAT,7
RG_Specialist,EXPL_VULN_UPLIFT,7
RG_Specialist,ALG_BIAS_GAP,6
RG_Specialist,ALG_ECE,7
RG_Specialist,ALG_ROBUST_DROP,7
RG_Specialist,CR_CONSENT,6
RG_Specialist,CR_DSAR_SLA,8
RG_Specialist,CR_MINIMIZE,6
RG_Specialist,ACC_LOGS,6
RG_Specialist,ACC_TAMPER,6
RG_Specialist,ACC_TRACE,8
RG_Specialist,HIL_REVIEW_COV,8
RG_Specialist,HIL_SLA,8
RG_Specialist,HIL_KAPPA,6
